Nombre,Referencia interna,Código de barras,Categoría de producto,Coste,Precio de venta,Unidad SAT,precio_venta_5%,precio_venta_10%
/BOTAS SEGURIDAD DIELECTRICAS CASQUILLO POLIAMIDA 26.5  137484 SURTEK,137484,660731374841,SURTEK,794.0,1151.0,Pieza,1208.55,1266.1000000000001
/BOTAS SEGURIDAD DIELECTRICAS CASQUILLO POLIAMIDA 27.5  137486 SURTEK,137486,660731374865,SURTEK,794.0,1151.0,Pieza,1208.55,1266.1000000000001
/BOTAS SEGURIDAD DIELECTRICAS CASQUILLO POLIAMIDA 28.5  137488 SURTEK,137488,660731374889,SURTEK,794.0,1151.0,Pieza,1208.55,1266.1000000000001
/BOTAS SEGURIDAD DIELECTRICAS CASQUILLO POLIAMIDA 29  137489 SURTEK,137489,660731374896,SURTEK,794.0,1151.0,Pieza,1208.55,1266.1000000000001
/BOTAS SEGURIDAD DIELECTRICAS CASQUILLO POLIAMIDA 30  137490 SURTEK,137490,660731374902,SURTEK,794.0,1151.0,Pieza,1208.55,1266.1000000000001
/BOTE DE 800 CINCHOS PLASTICOS  114224 SURTEK,114224,660731142242,SURTEK,223.0,323.0,Pieza,339.15000000000003,355.3
/BOTE INTEGRAL 12X8CM  BIN1208 SURTEK,BIN1208,660731368482,SURTEK,15.0,20.88,Pieza,21.924,22.968
/BOTON O PERILLA CLASICO TIPO 01 LATON ANTIGUO LOCK LJ2C01A LOCK,LJ2C01A,660731808766,LOCK,14.0,20.0,Pieza,21.0,22.0
/BOTON O PERILLA CLASICO TIPO 01 LATON BRILLANTE LOCK LJ2C01B LOCK,LJ2C01B,660731808759,LOCK,14.0,20.0,Pieza,21.0,22.0
/BOTON O PERILLA CLASICO TIPO 02 LATON ANTIGUO LOCK LJ2C02A LOCK,LJ2C02A,660731808797,LOCK,14.0,20.0,Pieza,21.0,22.0
/BOTON O PERILLA CLASICO TIPO 02 LATON BRILLANTE LOCK LJ2C02B LOCK,LJ2C02B,660731808780,LOCK,14.0,20.0,Pieza,21.0,22.0
/BOTON O PERILLA CLASICO TIPO 02 NIQUEL A RAYAS LOCK LJ2C02R LOCK,LJ2C02R,660731808803,LOCK,14.0,20.0,Pieza,21.0,22.0
/BOTON O PERILLA CLASICO TIPO 03 LATON ANTIGUO LOCK LJ2C03A LOCK,LJ2C03A,660731808827,LOCK,14.0,20.0,Pieza,21.0,22.0
/BOTON O PERILLA CLASICO TIPO 03 LATON BRILLANTE LOCK LJ2C03B LOCK,LJ2C03B,660731808810,LOCK,14.0,20.0,Pieza,21.0,22.0
/BOTON O PERILLA CLASICO TIPO 03 NIQUEL SATINADO LOCK LJ2C03N LOCK,LJ2C03N,660731808834,LOCK,14.0,20.0,Pieza,21.0,22.0
